'111,,Скважина,Дата,ГТМ,Метод,Характер работы,Состояние,"Время работы, ч",Время накопления,"Нефть, т","Вода, т","Жидкость, т","Попутный газ, м3","Простой, ч",Причина простоя,"Qж, т/сут","Обводненность (вес), %","Добыча растворенного газа, м3","Дебит попутного газа, м3/сут",Дата_2,Пласт МЭР,Куст,Тип скважины,Диаметр экспл.колонны,Диаметр НКТ,Диаметр штуцера,Глубина верхних дыр перфорации,Удлинение,Тип насоса,Производительность ЭЦН,Напор,Частота,Коэффициент сепарации,Глубина спуска,Буферное давление,Давление в линии,Пластовое давление,Динамическая высота,Затрубное давление,Давление на приеме,Забойное давление,Обводненность,Давление наcыщения,Газовый фактор,Температура пласта,SKIN,JD факт,Вязкость нефти в пластовых условиях,Вязкость воды в пластовых условиях,Вязкость жидкости в пласт. условиях,объемный коэффициент,Плотность нефти,Плотность воды,Высота перфорации,Удельный коэффициент,Коэффициент продуктивности,ТП - Забойное давление,ТП - JD опт.,ТП - SKIN,К пр от стимуляции,Глубина спуска.1,КВЧ,Время до псевдоуст-ся режима,Дата запуска после КРС,Дата пуска,Дата останова,Радиус контура питания,Номер бригады,Дата ввода в эксплуатацию,Назначение по проекту,Замерное забойное давление,Нефтенасыщенная толщина,Плотность раствора глушения,Глубина текущего забоя,Тип дополнительного оборудования,Мощность ПЭД,I X/X,Ток номинальный,Ток рабочий,Тип ГЗУ,ДНС,Пластовое давление начальное,Характеристический дебит жидкости,Время в работе,Время в накоплении,ГП - Забойное давление,ГП(ИДН) Дебит жидкости,ГП(ИДН) Дебит жидкости скорр-ый,ГП(ИДН) Прирост дефита нефти,ГП(ГРП) Дебит жидкости,ГП(ГРП) Дебит жидкости скорр-ый'
'147.0,720ed8586fea935dd1fa8643e62e321c,2005-12-01,0.0,1.0,1.0,1.0,744.0,0.0,361.0,85.0,446.0,23104.0,0.0,0,14.39,19.1,23104.0,745.29,2008-09-04,0.0,0.0,0.0,146.9736842105263,69.71235555555555,23.17460317460317,2963.08947368421,384.58400881057264,0.0,72.70044052863436,2366.409691629956,50.592389380530975,0.7,2770.856052631579,16.972907488986785,15.746740088105726,187.55424778761062,2455.0800884955747,16.887929515418502,38.8456953642384,54.688051354099045,38.88171052631578,100.61754385964912,81.49218421052633,93.65789473684212,999999.0,0.2908122913190041,42005.974386223344,1.207938596491228,0.5,1.3370650232633892,1.2007631578947369,0.8554342105263157,1.0196447368421049,27.221929824561403,2.19549746367168,0.2688011848513476,44.812997597657116,1.0229311250798934,-6.0005815298846015,0.8795761515831062,2657.8935064935063,100.2193832599119,467.2226125084668,42069.26429022497,42068.98225207115,42070.26529300684,250.0,0.0,41089.526315789466,0.0,53.14109589041096,0.0,11.323684210526313,0.7639533034623625,3043.664912280702,90.01754385964912,13.511627906976745,33.3702479338843,21.983117647058826,0.0,0.0,257.74122807017545,243.95856337210083,12.5,11.5,28.254218117548948,34.75716776970592,34.75716776970592,2.6050920884203337,109.68629905864628,109.68629905864628'
'148.0,720ed8586fea935dd1fa8643e62e321c,2006-01-01,0.0,1.0,1.0,1.0,672.0,0.0,326.0,76.0,402.0,20864.0,0.0,0,14.36,18.9,20864.0,745.14,2008-09-04,0.0,0.0,0.0,146.9736842105263,69.71235555555555,23.17460317460317,2963.08947368421,384.58400881057264,0.0,72.70044052863436,2366.409691629956,50.592389380530975,0.7,2770.856052631579,16.972907488986785,15.746740088105726,187.55424778761062,2455.0800884955747,16.887929515418502,38.8456953642384,54.688051354099045,38.88171052631578,100.61754385964912,81.49218421052633,93.65789473684212,999999.0,0.2908122913190041,42005.974386223344,1.207938596491228,0.5,1.3370650232633892,1.2007631578947369,0.8554342105263157,1.0196447368421049,27.221929824561403,2.19549746367168,0.2688011848513476,44.812997597657116,1.0229311250798934,-6.0005815298846015,0.8795761515831062,2657.8935064935063,100.2193832599119,467.2226125084668,42069.26429022497,42068.98225207115,42070.26529300684,250.0,0.0,41089.526315789466,0.0,53.14109589041096,0.0,11.323684210526313,0.7639533034623625,3043.664912280702,90.01754385964912,13.511627906976745,33.3702479338843,21.983117647058826,0.0,0.0,257.74122807017545,243.95856337210083,12.5,11.5,28.254218117548948,34.75716776970592,34.75716776970592,2.6050920884203337,109.68629905864628,109.68629905864628'
'149.0,720ed8586fea935dd1fa8643e62e321c,2006-01-29,0.0,1.0,1.0,1.0,744.0,0.0,328.0,98.0,426.0,20992.0,0.0,0,13.74,23.0,20992.0,677.16,2008-09-04,0.0,0.0,0.0,146.9736842105263,69.71235555555555,23.17460317460317,2963.08947368421,384.58400881057264,0.0,72.70044052863436,2366.409691629956,50.592389380530975,0.7,2770.856052631579,16.972907488986785,15.746740088105726,187.55424778761062,2455.0800884955747,16.887929515418502,38.8456953642384,54.688051354099045,38.88171052631578,100.61754385964912,81.49218421052633,93.65789473684212,999999.0,0.2908122913190041,42005.974386223344,1.207938596491228,0.5,1.3370650232633892,1.2007631578947369,0.8554342105263157,1.0196447368421049,27.221929824561403,2.19549746367168,0.2688011848513476,44.812997597657116,1.0229311250798934,-6.0005815298846015,0.8795761515831062,2657.8935064935063,100.2193832599119,467.2226125084668,42069.26429022497,42068.98225207115,42070.26529300684,250.0,0.0,41089.526315789466,0.0,53.14109589041096,0.0,11.323684210526313,0.7639533034623625,3043.664912280702,90.01754385964912,13.511627906976745,33.3702479338843,21.983117647058826,0.0,0.0,257.74122807017545,243.95856337210083,12.5,11.5,28.254218117548948,34.75716776970592,34.75716776970592,2.6050920884203337,109.68629905864628,109.68629905864628'
'150.0,8db6b7724380dec3f7a42f98502b0fc7,2007-03-31,1.0,1.0,1.0,1.0,512.0,0.0,573.0,77.0,650.0,33739.0,232.0,0,30.47,11.8,33739.0,1581.52,2010-05-10,0.0,0.0,0.0,146.9736842105263,69.71235555555555,23.17460317460317,2963.08947368421,384.58400881057264,0.0,72.70044052863436,2366.409691629956,50.592389380530975,0.7,2770.856052631579,16.972907488986785,15.746740088105726,187.55424778761062,2455.0800884955747,16.887929515418502,38.8456953642384,54.688051354099045,38.88171052631578,100.61754385964912,81.49218421052633,93.65789473684212,999999.0,0.2908122913190041,42005.974386223344,1.207938596491228,0.5,1.3370650232633892,1.2007631578947369,0.8554342105263157,1.0196447368421049,27.221929824561403,2.19549746367168,0.2688011848513476,44.812997597657116,1.0229311250798934,-6.0005815298846015,0.8795761515831062,2657.8935064935063,100.2193832599119,467.2226125084668,42069.26429022497,42068.98225207115,42070.26529300684,250.0,0.0,41089.526315789466,0.0,53.14109589041096,0.0,11.323684210526313,0.7639533034623625,3043.664912280702,90.01754385964912,13.511627906976745,33.3702479338843,21.983117647058826,0.0,0.0,257.74122807017545,243.95856337210083,12.5,11.5,28.254218117548948,34.75716776970592,34.75716776970592,2.6050920884203337,109.68629905864628,109.68629905864628'
'151.0,8db6b7724380dec3f7a42f98502b0fc7,2007-05-01,0.0,1.0,1.0,1.0,720.0,0.0,1069.0,72.0,1141.0,62937.0,0.0,0,38.03,6.3,62937.0,2097.9,2010-05-10,0.0,0.0,0.0,146.9736842105263,69.71235555555555,23.17460317460317,2963.08947368421,384.58400881057264,0.0,72.70044052863436,2366.409691629956,50.592389380530975,0.7,2770.856052631579,16.972907488986785,15.746740088105726,187.55424778761062,2455.0800884955747,16.887929515418502,38.8456953642384,54.688051354099045,38.88171052631578,100.61754385964912,81.49218421052633,93.65789473684212,999999.0,0.2908122913190041,42005.974386223344,1.207938596491228,0.5,1.3370650232633892,1.2007631578947369,0.8554342105263157,1.0196447368421049,27.221929824561403,2.19549746367168,0.2688011848513476,44.812997597657116,1.0229311250798934,-6.0005815298846015,0.8795761515831062,2657.8935064935063,100.2193832599119,467.2226125084668,42069.26429022497,42068.98225207115,42070.26529300684,250.0,0.0,41089.526315789466,0.0,53.14109589041096,0.0,11.323684210526313,0.7639533034623625,3043.664912280702,90.01754385964912,13.511627906976745,33.3702479338843,21.983117647058826,0.0,0.0,257.74122807017545,243.95856337210083,12.5,11.5,28.254218117548948,34.75716776970592,34.75716776970592,2.6050920884203337,109.68629905864628,109.68629905864628'
'152.0,8db6b7724380dec3f7a42f98502b0fc7,2007-05-31,0.0,1.0,1.0,1.0,743.0,0.0,1057.0,189.0,1246.0,63367.0,1.0,1,40.25,15.2,63367.0,2046.85,2010-05-10,0.0,0.0,0.0,146.9736842105263,69.71235555555555,23.17460317460317,2963.08947368421,384.58400881057264,0.0,72.70044052863436,2366.409691629956,50.592389380530975,0.7,2770.856052631579,16.972907488986785,15.746740088105726,187.55424778761062,2455.0800884955747,16.887929515418502,38.8456953642384,54.688051354099045,38.88171052631578,100.61754385964912,81.49218421052633,93.65789473684212,999999.0,0.2908122913190041,42005.974386223344,1.207938596491228,0.5,1.3370650232633892,1.2007631578947369,0.8554342105263157,1.0196447368421049,27.221929824561403,2.19549746367168,0.2688011848513476,44.812997597657116,1.0229311250798934,-6.0005815298846015,0.8795761515831062,2657.8935064935063,100.2193832599119,467.2226125084668,42069.26429022497,42068.98225207115,42070.26529300684,250.0,0.0,41089.526315789466,0.0,53.14109589041096,0.0,11.323684210526313,0.7639533034623625,3043.664912280702,90.01754385964912,13.511627906976745,33.3702479338843,21.983117647058826,0.0,0.0,257.74122807017545,243.95856337210083,12.5,11.5,28.254218117548948,34.75716776970592,34.75716776970592,2.6050920884203337,109.68629905864628,109.68629905864628'
'153.0,8db6b7724380dec3f7a42f98502b0fc7,2007-07-01,0.0,1.0,1.0,1.0,744.0,0.0,902.0,161.0,1063.0,58799.0,0.0,0,34.29,15.1,58799.0,1896.74,2010-05-10,0.0,0.0,0.0,146.9736842105263,69.71235555555555,23.17460317460317,2963.08947368421,384.58400881057264,0.0,72.70044052863436,2366.409691629956,50.592389380530975,0.7,2770.856052631579,16.972907488986785,15.746740088105726,187.55424778761062,2455.0800884955747,16.887929515418502,38.8456953642384,54.688051354099045,38.88171052631578,100.61754385964912,81.49218421052633,93.65789473684212,999999.0,0.2908122913190041,42005.974386223344,1.207938596491228,0.5,1.3370650232633892,1.2007631578947369,0.8554342105263157,1.0196447368421049,27.221929824561403,2.19549746367168,0.2688011848513476,44.812997597657116,1.0229311250798934,-6.0005815298846015,0.8795761515831062,2657.8935064935063,100.2193832599119,467.2226125084668,42069.26429022497,42068.98225207115,42070.26529300684,250.0,0.0,41089.526315789466,0.0,53.14109589041096,0.0,11.323684210526313,0.7639533034623625,3043.664912280702,90.01754385964912,13.511627906976745,33.3702479338843,21.983117647058826,0.0,0.0,257.74122807017545,243.95856337210083,12.5,11.5,28.254218117548948,34.75716776970592,34.75716776970592,2.6050920884203337,109.68629905864628,109.68629905864628'
'154.0,8db6b7724380dec3f7a42f98502b0fc7,2007-08-01,0.0,1.0,1.0,1.0,720.0,0.0,815.0,99.0,914.0,53496.0,0.0,0,30.47,10.8,53496.0,1783.2,2010-05-10,0.0,0.0,0.0,146.9736842105263,69.71235555555555,23.17460317460317,2963.08947368421,384.58400881057264,0.0,72.70044052863436,2366.409691629956,50.592389380530975,0.7,2770.856052631579,16.972907488986785,15.746740088105726,187.55424778761062,2455.0800884955747,16.887929515418502,38.8456953642384,54.688051354099045,38.88171052631578,100.61754385964912,81.49218421052633,93.65789473684212,999999.0,0.2908122913190041,42005.974386223344,1.207938596491228,0.5,1.3370650232633892,1.2007631578947369,0.8554342105263157,1.0196447368421049,27.221929824561403,2.19549746367168,0.2688011848513476,44.812997597657116,1.0229311250798934,-6.0005815298846015,0.8795761515831062,2657.8935064935063,100.2193832599119,467.2226125084668,42069.26429022497,42068.98225207115,42070.26529300684,250.0,0.0,41089.526315789466,0.0,53.14109589041096,0.0,11.323684210526313,0.7639533034623625,3043.664912280702,90.01754385964912,13.511627906976745,33.3702479338843,21.983117647058826,0.0,0.0,257.74122807017545,243.95856337210083,12.5,11.5,28.254218117548948,34.75716776970592,34.75716776970592,2.6050920884203337,109.68629905864628,109.68629905864628'
'155.0,8db6b7724380dec3f7a42f98502b0fc7,2007-08-31,0.0,1.0,1.0,1.0,744.0,0.0,874.0,57.0,931.0,56388.0,0.0,0,30.03,6.1,56388.0,1818.97,2010-05-10,0.0,0.0,0.0,146.9736842105263,69.71235555555555,23.17460317460317,2963.08947368421,384.58400881057264,0.0,72.70044052863436,2366.409691629956,50.592389380530975,0.7,2770.856052631579,16.972907488986785,15.746740088105726,187.55424778761062,2455.0800884955747,16.887929515418502,38.8456953642384,54.688051354099045,38.88171052631578,100.61754385964912,81.49218421052633,93.65789473684212,999999.0,0.2908122913190041,42005.974386223344,1.207938596491228,0.5,1.3370650232633892,1.2007631578947369,0.8554342105263157,1.0196447368421049,27.221929824561403,2.19549746367168,0.2688011848513476,44.812997597657116,1.0229311250798934,-6.0005815298846015,0.8795761515831062,2657.8935064935063,100.2193832599119,467.2226125084668,42069.26429022497,42068.98225207115,42070.26529300684,250.0,0.0,41089.526315789466,0.0,53.14109589041096,0.0,11.323684210526313,0.7639533034623625,3043.664912280702,90.01754385964912,13.511627906976745,33.3702479338843,21.983117647058826,0.0,0.0,257.74122807017545,243.95856337210083,12.5,11.5,28.254218117548948,34.75716776970592,34.75716776970592,2.6050920884203337,109.68629905864628,109.68629905864628'
'156.0,b8f3077dcfc0db007d31b9e2f0cb3db0,2008-12-31,0.0,1.0,1.0,1.0,695.0,0.0,410.0,453.0,863.0,26185.0,1.0,4,29.8,52.5,26185.0,904.23,2012-01-29,0.0,0.0,0.0,146.9736842105263,69.71235555555555,23.17460317460317,2963.08947368421,384.58400881057264,0.0,72.70044052863436,2366.409691629956,50.592389380530975,0.7,2770.856052631579,16.972907488986785,15.746740088105726,187.55424778761062,2455.0800884955747,16.887929515418502,38.8456953642384,54.688051354099045,38.88171052631578,100.61754385964912,81.49218421052633,93.65789473684212,999999.0,0.2908122913190041,42005.974386223344,1.207938596491228,0.5,1.3370650232633892,1.2007631578947369,0.8554342105263157,1.0196447368421049,27.221929824561403,2.19549746367168,0.2688011848513476,44.812997597657116,1.0229311250798934,-6.0005815298846015,0.8795761515831062,2657.8935064935063,100.2193832599119,467.2226125084668,42069.26429022497,42068.98225207115,42070.26529300684,250.0,0.0,41089.526315789466,0.0,53.14109589041096,0.0,11.323684210526313,0.7639533034623625,3043.664912280702,90.01754385964912,13.511627906976745,33.3702479338843,21.983117647058826,0.0,0.0,257.74122807017545,243.95856337210083,12.5,11.5,28.254218117548948,34.75716776970592,34.75716776970592,2.6050920884203337,109.68629905864628,109.68629905864628'
'157.0,b8f3077dcfc0db007d31b9e2f0cb3db0,2009-01-29,0.0,1.0,1.0,1.0,744.0,0.0,678.0,337.0,1015.0,44193.0,0.0,0,32.74,33.2,44193.0,1425.58,2012-01-29,0.0,0.0,0.0,146.9736842105263,69.71235555555555,23.17460317460317,2963.08947368421,384.58400881057264,0.0,72.70044052863436,2366.409691629956,50.592389380530975,0.7,2770.856052631579,16.972907488986785,15.746740088105726,187.55424778761062,2455.0800884955747,16.887929515418502,38.8456953642384,54.688051354099045,38.88171052631578,100.61754385964912,81.49218421052633,93.65789473684212,999999.0,0.2908122913190041,42005.974386223344,1.207938596491228,0.5,1.3370650232633892,1.2007631578947369,0.8554342105263157,1.0196447368421049,27.221929824561403,2.19549746367168,0.2688011848513476,44.812997597657116,1.0229311250798934,-6.0005815298846015,0.8795761515831062,2657.8935064935063,100.2193832599119,467.2226125084668,42069.26429022497,42068.98225207115,42070.26529300684,250.0,0.0,41089.526315789466,0.0,53.14109589041096,0.0,11.323684210526313,0.7639533034623625,3043.664912280702,90.01754385964912,13.511627906976745,33.3702479338843,21.983117647058826,0.0,0.0,257.74122807017545,243.95856337210083,12.5,11.5,28.254218117548948,34.75716776970592,34.75716776970592,2.6050920884203337,109.68629905864628,109.68629905864628'
'158.0,b8f3077dcfc0db007d31b9e2f0cb3db0,2009-03-01,0.0,1.0,1.0,1.0,720.0,0.0,576.0,316.0,892.0,40397.0,0.0,0,29.73,35.4,40397.0,1346.57,2012-01-29,0.0,0.0,0.0,146.9736842105263,69.71235555555555,23.17460317460317,2963.08947368421,384.58400881057264,0.0,72.70044052863436,2366.409691629956,50.592389380530975,0.7,2770.856052631579,16.972907488986785,15.746740088105726,187.55424778761062,2455.0800884955747,16.887929515418502,38.8456953642384,54.688051354099045,38.88171052631578,100.61754385964912,81.49218421052633,93.65789473684212,999999.0,0.2908122913190041,42005.974386223344,1.207938596491228,0.5,1.3370650232633892,1.2007631578947369,0.8554342105263157,1.0196447368421049,27.221929824561403,2.19549746367168,0.2688011848513476,44.812997597657116,1.0229311250798934,-6.0005815298846015,0.8795761515831062,2657.8935064935063,100.2193832599119,467.2226125084668,42069.26429022497,42068.98225207115,42070.26529300684,250.0,0.0,41089.526315789466,0.0,53.14109589041096,0.0,11.323684210526313,0.7639533034623625,3043.664912280702,90.01754385964912,13.511627906976745,33.3702479338843,21.983117647058826,0.0,0.0,257.74122807017545,243.95856337210083,12.5,11.5,28.254218117548948,34.75716776970592,34.75716776970592,2.6050920884203337,109.68629905864628,109.68629905864628'
'159.0,b8f3077dcfc0db007d31b9e2f0cb3db0,2009-03-31,0.0,1.0,1.0,1.0,744.0,0.0,548.0,311.0,859.0,38571.0,0.0,0,27.71,36.2,38571.0,1244.23,2012-01-29,0.0,0.0,0.0,146.9736842105263,69.71235555555555,23.17460317460317,2963.08947368421,384.58400881057264,0.0,72.70044052863436,2366.409691629956,50.592389380530975,0.7,2770.856052631579,16.972907488986785,15.746740088105726,187.55424778761062,2455.0800884955747,16.887929515418502,38.8456953642384,54.688051354099045,38.88171052631578,100.61754385964912,81.49218421052633,93.65789473684212,999999.0,0.2908122913190041,42005.974386223344,1.207938596491228,0.5,1.3370650232633892,1.2007631578947369,0.8554342105263157,1.0196447368421049,27.221929824561403,2.19549746367168,0.2688011848513476,44.812997597657116,1.0229311250798934,-6.0005815298846015,0.8795761515831062,2657.8935064935063,100.2193832599119,467.2226125084668,42069.26429022497,42068.98225207115,42070.26529300684,250.0,0.0,41089.526315789466,0.0,53.14109589041096,0.0,11.323684210526313,0.7639533034623625,3043.664912280702,90.01754385964912,13.511627906976745,33.3702479338843,21.983117647058826,0.0,0.0,257.74122807017545,243.95856337210083,12.5,11.5,28.254218117548948,34.75716776970592,34.75716776970592,2.6050920884203337,109.68629905864628,109.68629905864628'
'160.0,b8f3077dcfc0db007d31b9e2f0cb3db0,2009-05-01,0.0,1.0,1.0,1.0,720.0,0.0,597.0,141.0,738.0,43910.0,0.0,0,24.6,19.1,43910.0,1463.67,2012-01-29,0.0,0.0,0.0,146.9736842105263,69.71235555555555,23.17460317460317,2963.08947368421,384.58400881057264,0.0,72.70044052863436,2366.409691629956,50.592389380530975,0.7,2770.856052631579,16.972907488986785,15.746740088105726,187.55424778761062,2455.0800884955747,16.887929515418502,38.8456953642384,54.688051354099045,38.88171052631578,100.61754385964912,81.49218421052633,93.65789473684212,999999.0,0.2908122913190041,42005.974386223344,1.207938596491228,0.5,1.3370650232633892,1.2007631578947369,0.8554342105263157,1.0196447368421049,27.221929824561403,2.19549746367168,0.2688011848513476,44.812997597657116,1.0229311250798934,-6.0005815298846015,0.8795761515831062,2657.8935064935063,100.2193832599119,467.2226125084668,42069.26429022497,42068.98225207115,42070.26529300684,250.0,0.0,41089.526315789466,0.0,53.14109589041096,0.0,11.323684210526313,0.7639533034623625,3043.664912280702,90.01754385964912,13.511627906976745,33.3702479338843,21.983117647058826,0.0,0.0,257.74122807017545,243.95856337210083,12.5,11.5,28.254218117548948,34.75716776970592,34.75716776970592,2.6050920884203337,109.68629905864628,109.68629905864628'
'161.0,b8f3077dcfc0db007d31b9e2f0cb3db0,2009-05-31,0.0,1.0,1.0,1.0,744.0,0.0,601.0,145.0,746.0,45332.0,0.0,0,24.06,19.4,45332.0,1462.32,2012-01-29,0.0,0.0,0.0,146.9736842105263,69.71235555555555,23.17460317460317,2963.08947368421,384.58400881057264,0.0,72.70044052863436,2366.409691629956,50.592389380530975,0.7,2770.856052631579,16.972907488986785,15.746740088105726,187.55424778761062,2455.0800884955747,16.887929515418502,38.8456953642384,54.688051354099045,38.88171052631578,100.61754385964912,81.49218421052633,93.65789473684212,999999.0,0.2908122913190041,42005.974386223344,1.207938596491228,0.5,1.3370650232633892,1.2007631578947369,0.8554342105263157,1.0196447368421049,27.221929824561403,2.19549746367168,0.2688011848513476,44.812997597657116,1.0229311250798934,-6.0005815298846015,0.8795761515831062,2657.8935064935063,100.2193832599119,467.2226125084668,42069.26429022497,42068.98225207115,42070.26529300684,250.0,0.0,41089.526315789466,0.0,53.14109589041096,0.0,11.323684210526313,0.7639533034623625,3043.664912280702,90.01754385964912,13.511627906976745,33.3702479338843,21.983117647058826,0.0,0.0,257.74122807017545,243.95856337210083,12.5,11.5,28.254218117548948,34.75716776970592,34.75716776970592,2.6050920884203337,109.68629905864628,109.68629905864628'
'162.0,3f659f96ed7d226fa0d6472eb0960c46,2007-05-01,0.0,1.0,1.0,4.0,567.0,0.0,187.0,14.0,201.0,12222.0,153.0,2,8.51,7.0,12222.0,517.33,2010-07-11,0.0,0.0,0.0,146.9736842105263,69.71235555555555,23.17460317460317,2963.08947368421,384.58400881057264,0.0,72.70044052863436,2366.409691629956,50.592389380530975,0.7,2770.856052631579,16.972907488986785,15.746740088105726,187.55424778761062,2455.0800884955747,16.887929515418502,38.8456953642384,54.688051354099045,38.88171052631578,100.61754385964912,81.49218421052633,93.65789473684212,999999.0,0.2908122913190041,42005.974386223344,1.207938596491228,0.5,1.3370650232633892,1.2007631578947369,0.8554342105263157,1.0196447368421049,27.221929824561403,2.19549746367168,0.2688011848513476,44.812997597657116,1.0229311250798934,-6.0005815298846015,0.8795761515831062,2657.8935064935063,100.2193832599119,467.2226125084668,42069.26429022497,42068.98225207115,42070.26529300684,250.0,0.0,41089.526315789466,0.0,53.14109589041096,0.0,11.323684210526313,0.7639533034623625,3043.664912280702,90.01754385964912,13.511627906976745,33.3702479338843,21.983117647058826,0.0,0.0,257.74122807017545,243.95856337210083,12.5,11.5,28.254218117548948,34.75716776970592,34.75716776970592,2.6050920884203337,109.68629905864628,109.68629905864628'
'163.0,3f659f96ed7d226fa0d6472eb0960c46,2007-05-31,0.0,1.0,1.0,1.0,500.0,0.0,394.0,29.0,423.0,23609.0,244.0,0,20.3,6.9,23609.0,1133.23,2010-07-11,0.0,0.0,0.0,146.9736842105263,69.71235555555555,23.17460317460317,2963.08947368421,384.58400881057264,0.0,72.70044052863436,2366.409691629956,50.592389380530975,0.7,2770.856052631579,16.972907488986785,15.746740088105726,187.55424778761062,2455.0800884955747,16.887929515418502,38.8456953642384,54.688051354099045,38.88171052631578,100.61754385964912,81.49218421052633,93.65789473684212,999999.0,0.2908122913190041,42005.974386223344,1.207938596491228,0.5,1.3370650232633892,1.2007631578947369,0.8554342105263157,1.0196447368421049,27.221929824561403,2.19549746367168,0.2688011848513476,44.812997597657116,1.0229311250798934,-6.0005815298846015,0.8795761515831062,2657.8935064935063,100.2193832599119,467.2226125084668,42069.26429022497,42068.98225207115,42070.26529300684,250.0,0.0,41089.526315789466,0.0,53.14109589041096,0.0,11.323684210526313,0.7639533034623625,3043.664912280702,90.01754385964912,13.511627906976745,33.3702479338843,21.983117647058826,0.0,0.0,257.74122807017545,243.95856337210083,12.5,11.5,28.254218117548948,34.75716776970592,34.75716776970592,2.6050920884203337,109.68629905864628,109.68629905864628'
'164.0,3f659f96ed7d226fa0d6472eb0960c46,2007-07-01,0.0,1.0,1.0,1.0,744.0,0.0,639.0,29.0,668.0,41680.0,0.0,0,21.55,4.3,41680.0,1344.52,2010-07-11,0.0,0.0,0.0,146.9736842105263,69.71235555555555,23.17460317460317,2963.08947368421,384.58400881057264,0.0,72.70044052863436,2366.409691629956,50.592389380530975,0.7,2770.856052631579,16.972907488986785,15.746740088105726,187.55424778761062,2455.0800884955747,16.887929515418502,38.8456953642384,54.688051354099045,38.88171052631578,100.61754385964912,81.49218421052633,93.65789473684212,999999.0,0.2908122913190041,42005.974386223344,1.207938596491228,0.5,1.3370650232633892,1.2007631578947369,0.8554342105263157,1.0196447368421049,27.221929824561403,2.19549746367168,0.2688011848513476,44.812997597657116,1.0229311250798934,-6.0005815298846015,0.8795761515831062,2657.8935064935063,100.2193832599119,467.2226125084668,42069.26429022497,42068.98225207115,42070.26529300684,250.0,0.0,41089.526315789466,0.0,53.14109589041096,0.0,11.323684210526313,0.7639533034623625,3043.664912280702,90.01754385964912,13.511627906976745,33.3702479338843,21.983117647058826,0.0,0.0,257.74122807017545,243.95856337210083,12.5,11.5,28.254218117548948,34.75716776970592,34.75716776970592,2.6050920884203337,109.68629905864628,109.68629905864628'
'165.0,3f659f96ed7d226fa0d6472eb0960c46,2007-08-01,0.0,1.0,1.0,1.0,718.0,0.0,634.0,59.0,693.0,41581.0,2.0,9,23.16,8.5,41581.0,1389.89,2010-07-11,0.0,0.0,0.0,146.9736842105263,69.71235555555555,23.17460317460317,2963.08947368421,384.58400881057264,0.0,72.70044052863436,2366.409691629956,50.592389380530975,0.7,2770.856052631579,16.972907488986785,15.746740088105726,187.55424778761062,2455.0800884955747,16.887929515418502,38.8456953642384,54.688051354099045,38.88171052631578,100.61754385964912,81.49218421052633,93.65789473684212,999999.0,0.2908122913190041,42005.974386223344,1.207938596491228,0.5,1.3370650232633892,1.2007631578947369,0.8554342105263157,1.0196447368421049,27.221929824561403,2.19549746367168,0.2688011848513476,44.812997597657116,1.0229311250798934,-6.0005815298846015,0.8795761515831062,2657.8935064935063,100.2193832599119,467.2226125084668,42069.26429022497,42068.98225207115,42070.26529300684,250.0,0.0,41089.526315789466,0.0,53.14109589041096,0.0,11.323684210526313,0.7639533034623625,3043.664912280702,90.01754385964912,13.511627906976745,33.3702479338843,21.983117647058826,0.0,0.0,257.74122807017545,243.95856337210083,12.5,11.5,28.254218117548948,34.75716776970592,34.75716776970592,2.6050920884203337,109.68629905864628,109.68629905864628'
'166.0,3f659f96ed7d226fa0d6472eb0960c46,2007-08-31,0.0,1.0,1.0,1.0,743.0,0.0,742.0,41.0,783.0,44633.0,1.0,1,25.29,5.2,44633.0,1441.71,2010-07-11,0.0,0.0,0.0,146.9736842105263,69.71235555555555,23.17460317460317,2963.08947368421,384.58400881057264,0.0,72.70044052863436,2366.409691629956,50.592389380530975,0.7,2770.856052631579,16.972907488986785,15.746740088105726,187.55424778761062,2455.0800884955747,16.887929515418502,38.8456953642384,54.688051354099045,38.88171052631578,100.61754385964912,81.49218421052633,93.65789473684212,999999.0,0.2908122913190041,42005.974386223344,1.207938596491228,0.5,1.3370650232633892,1.2007631578947369,0.8554342105263157,1.0196447368421049,27.221929824561403,2.19549746367168,0.2688011848513476,44.812997597657116,1.0229311250798934,-6.0005815298846015,0.8795761515831062,2657.8935064935063,100.2193832599119,467.2226125084668,42069.26429022497,42068.98225207115,42070.26529300684,250.0,0.0,41089.526315789466,0.0,53.14109589041096,0.0,11.323684210526313,0.7639533034623625,3043.664912280702,90.01754385964912,13.511627906976745,33.3702479338843,21.983117647058826,0.0,0.0,257.74122807017545,243.95856337210083,12.5,11.5,28.254218117548948,34.75716776970592,34.75716776970592,2.6050920884203337,109.68629905864628,109.68629905864628'
