,Скважина,Дата,ГТМ,Метод,Характер работы,Состояние,"Время работы, ч",Время накопления,"Нефть, т","Попутный газ, м3","Простой, ч",Причина простоя,"Обводненность (вес), %","Добыча растворенного газа, м3","Дебит попутного газа, м3/сут",Тип скважины,Диаметр НКТ,Диаметр штуцера,Глубина верхних дыр перфорации,Удлинение,Тип насоса,Производительность ЭЦН,Напор,Частота,Коэффициент сепарации,Глубина спуска,Буферное давление,Давление в линии,Пластовое давление,Динамическая высота,Затрубное давление,Давление на приеме,Забойное давление,Обводненность,Давление наcыщения,Газовый фактор,Температура пласта,JD факт,Вязкость нефти в пластовых условиях,Вязкость воды в пластовых условиях,Вязкость жидкости в пласт. условиях,объемный коэффициент,Плотность нефти,Плотность воды,Высота перфорации,Удельный коэффициент,Коэффициент продуктивности,ТП - Забойное давление,ТП - JD опт.,ТП - SKIN,К пр от стимуляции,Глубина спуска.1,КВЧ,Время до псевдоуст-ся режима,Дата запуска после КРС,Дата пуска,Дата останова,Радиус контура питания,Номер бригады,Дата ввода в эксплуатацию,Назначение по проекту,Замерное забойное давление,Нефтенасыщенная толщина,Плотность раствора глушения,Глубина текущего забоя,Тип дополнительного оборудования,Мощность ПЭД,I X/X,Ток номинальный,Ток рабочий,Тип ГЗУ,ДНС,Пластовое давление начальное,Характеристический дебит жидкости,Время в работе,Время в накоплении,ГП - Забойное давление,ГП(ИДН) Дебит жидкости,ГП(ИДН) Дебит жидкости скорр-ый,ГП(ИДН) Прирост дефита нефти,ГП(ГРП) Дебит жидкости,ГП(ГРП) Дебит жидкости скорр-ый
648.0,aa3dc72b6f40042634a2335fc2266082,2008-12-31,1.0,1.0,1.0,1.0,120.0,0.0,"152,00",20612.0,0.0,3,"32,1","20612,00","4122,40",1.0,66.78069306930692,27.15887096774193,3105.685577264653,479.9311355570529,0.0,99.01489757914341,2424.1729559748433,50.04872670807453,0.7000000000000001,2853.1861827956986,20.18941798941799,18.814942630185353,262.9134353369764,2323.172419928825,19.579964381122,55.62930719656283,71.93162135037728,23.388614273204908,99.90933333333334,70.74236998254798,92.04428822495605,0.3222122602740506,1.335449300699301,0.5,1.392471520554655,1.1699162303664925,0.8617382198952879,1.0157083769633508,36.09571936056839,3.742329360229473,0.2829196403898712,48.221973051250956,1.1969521157658212,-5.950202176668282,0.6504305216062959,2782.7365322580645,124.7534351145038,1399.3294432118598,42118.22692180151,42109.60223240256,42069.66600572612,250.0,2.477970297029703,42078.64921465969,0.0,65.9924932735426,13.332257769652653,1.0384247176597197,3322.135149384885,0.0,72.55463414634147,14.042105263157893,33.56677419354839,22.93096404793609,0.0,0.0,269.0789649122807,253.0252295338702,10.157142857142855,12.06,29.79708592387981,58.99643222442025,58.99643222442025,7.954614382663871,127.84131633262652,127.84131633262652
649.0,aa3dc72b6f40042634a2335fc2266082,2009-01-29,0.0,1.0,1.0,1.0,744.0,0.0,"834,00",123274.0,0.0,0,"4,5","123274,00","3976,58",1.0,66.78069306930692,27.15887096774193,3105.685577264653,479.9311355570529,0.0,99.01489757914341,2424.1729559748433,50.04872670807453,0.7000000000000001,2853.1861827956986,20.18941798941799,18.814942630185353,262.9134353369764,2323.172419928825,19.579964381122,55.62930719656283,71.93162135037728,23.388614273204908,99.90933333333334,70.74236998254798,92.04428822495605,0.3222122602740506,1.335449300699301,0.5,1.392471520554655,1.1699162303664925,0.8617382198952879,1.0157083769633508,36.09571936056839,3.742329360229473,0.2829196403898712,48.221973051250956,1.1969521157658212,-5.950202176668282,0.6504305216062959,2782.7365322580645,124.7534351145038,1399.3294432118598,42118.22692180151,42109.60223240256,42069.66600572612,250.0,2.477970297029703,42078.64921465969,0.0,65.9924932735426,13.332257769652653,1.0384247176597197,3322.135149384885,0.0,72.55463414634147,14.042105263157893,33.56677419354839,22.93096404793609,0.0,0.0,269.0789649122807,253.0252295338702,10.157142857142855,12.06,29.79708592387981,58.99643222442025,58.99643222442025,7.954614382663871,127.84131633262652,127.84131633262652
650.0,aa3dc72b6f40042634a2335fc2266082,2009-03-01,0.0,1.0,1.0,1.0,720.0,0.0,"614,00",85690.0,0.0,0,"8,4","85690,00","2856,33",1.0,66.78069306930692,27.15887096774193,3105.685577264653,479.9311355570529,0.0,99.01489757914341,2424.1729559748433,50.04872670807453,0.7000000000000001,2853.1861827956986,20.18941798941799,18.814942630185353,262.9134353369764,2323.172419928825,19.579964381122,55.62930719656283,71.93162135037728,23.388614273204908,99.90933333333334,70.74236998254798,92.04428822495605,0.3222122602740506,1.335449300699301,0.5,1.392471520554655,1.1699162303664925,0.8617382198952879,1.0157083769633508,36.09571936056839,3.742329360229473,0.2829196403898712,48.221973051250956,1.1969521157658212,-5.950202176668282,0.6504305216062959,2782.7365322580645,124.7534351145038,1399.3294432118598,42118.22692180151,42109.60223240256,42069.66600572612,250.0,2.477970297029703,42078.64921465969,0.0,65.9924932735426,13.332257769652653,1.0384247176597197,3322.135149384885,0.0,72.55463414634147,14.042105263157893,33.56677419354839,22.93096404793609,0.0,0.0,269.0789649122807,253.0252295338702,10.157142857142855,12.06,29.79708592387981,58.99643222442025,58.99643222442025,7.954614382663871,127.84131633262652,127.84131633262652
651.0,aa3dc72b6f40042634a2335fc2266082,2009-03-31,0.0,1.0,1.0,1.0,744.0,0.0,"565,00",81520.0,0.0,0,"2,2","81520,00","2629,68",1.0,66.78069306930692,27.15887096774193,3105.685577264653,479.9311355570529,0.0,99.01489757914341,2424.1729559748433,50.04872670807453,0.7000000000000001,2853.1861827956986,20.18941798941799,18.814942630185353,262.9134353369764,2323.172419928825,19.579964381122,55.62930719656283,71.93162135037728,23.388614273204908,99.90933333333334,70.74236998254798,92.04428822495605,0.3222122602740506,1.335449300699301,0.5,1.392471520554655,1.1699162303664925,0.8617382198952879,1.0157083769633508,36.09571936056839,3.742329360229473,0.2829196403898712,48.221973051250956,1.1969521157658212,-5.950202176668282,0.6504305216062959,2782.7365322580645,124.7534351145038,1399.3294432118598,42118.22692180151,42109.60223240256,42069.66600572612,250.0,2.477970297029703,42078.64921465969,0.0,65.9924932735426,13.332257769652653,1.0384247176597197,3322.135149384885,0.0,72.55463414634147,14.042105263157893,33.56677419354839,22.93096404793609,0.0,0.0,269.0789649122807,253.0252295338702,10.157142857142855,12.06,29.79708592387981,58.99643222442025,58.99643222442025,7.954614382663871,127.84131633262652,127.84131633262652
652.0,aa3dc72b6f40042634a2335fc2266082,2009-05-01,0.0,1.0,1.0,1.0,720.0,0.0,"499,00",68410.0,0.0,0,"4,8","68410,00","2280,33",1.0,66.78069306930692,27.15887096774193,3105.685577264653,479.9311355570529,0.0,99.01489757914341,2424.1729559748433,50.04872670807453,0.7000000000000001,2853.1861827956986,20.18941798941799,18.814942630185353,262.9134353369764,2323.172419928825,19.579964381122,55.62930719656283,71.93162135037728,23.388614273204908,99.90933333333334,70.74236998254798,92.04428822495605,0.3222122602740506,1.335449300699301,0.5,1.392471520554655,1.1699162303664925,0.8617382198952879,1.0157083769633508,36.09571936056839,3.742329360229473,0.2829196403898712,48.221973051250956,1.1969521157658212,-5.950202176668282,0.6504305216062959,2782.7365322580645,124.7534351145038,1399.3294432118598,42118.22692180151,42109.60223240256,42069.66600572612,250.0,2.477970297029703,42078.64921465969,0.0,65.9924932735426,13.332257769652653,1.0384247176597197,3322.135149384885,0.0,72.55463414634147,14.042105263157893,33.56677419354839,22.93096404793609,0.0,0.0,269.0789649122807,253.0252295338702,10.157142857142855,12.06,29.79708592387981,58.99643222442025,58.99643222442025,7.954614382663871,127.84131633262652,127.84131633262652
653.0,aa3dc72b6f40042634a2335fc2266082,2009-05-31,0.0,1.0,1.0,1.0,744.0,0.0,"439,00",59954.0,0.0,0,"4,1","59954,00","1934,00",1.0,66.78069306930692,27.15887096774193,3105.685577264653,479.9311355570529,0.0,99.01489757914341,2424.1729559748433,50.04872670807453,0.7000000000000001,2853.1861827956986,20.18941798941799,18.814942630185353,262.9134353369764,2323.172419928825,19.579964381122,55.62930719656283,71.93162135037728,23.388614273204908,99.90933333333334,70.74236998254798,92.04428822495605,0.3222122602740506,1.335449300699301,0.5,1.392471520554655,1.1699162303664925,0.8617382198952879,1.0157083769633508,36.09571936056839,3.742329360229473,0.2829196403898712,48.221973051250956,1.1969521157658212,-5.950202176668282,0.6504305216062959,2782.7365322580645,124.7534351145038,1399.3294432118598,42118.22692180151,42109.60223240256,42069.66600572612,250.0,2.477970297029703,42078.64921465969,0.0,65.9924932735426,13.332257769652653,1.0384247176597197,3322.135149384885,0.0,72.55463414634147,14.042105263157893,33.56677419354839,22.93096404793609,0.0,0.0,269.0789649122807,253.0252295338702,10.157142857142855,12.06,29.79708592387981,58.99643222442025,58.99643222442025,7.954614382663871,127.84131633262652,127.84131633262652
654.0,4b3b8c7d50e0417709d3ec24b9dfd6e5,2009-03-01,1.0,1.0,1.0,2.0,0.0,0.0,"0,00",0.0,0.0,3,"0,0","0,00","0,00",1.0,66.78069306930692,27.15887096774193,3105.685577264653,479.9311355570529,0.0,99.01489757914341,2424.1729559748433,50.04872670807453,0.7000000000000001,2853.1861827956986,20.18941798941799,18.814942630185353,262.9134353369764,2323.172419928825,19.579964381122,55.62930719656283,71.93162135037728,23.388614273204908,99.90933333333334,70.74236998254798,92.04428822495605,0.3222122602740506,1.335449300699301,0.5,1.392471520554655,1.1699162303664925,0.8617382198952879,1.0157083769633508,36.09571936056839,3.742329360229473,0.2829196403898712,48.221973051250956,1.1969521157658212,-5.950202176668282,0.6504305216062959,2782.7365322580645,124.7534351145038,1399.3294432118598,42118.22692180151,42109.60223240256,42069.66600572612,250.0,2.477970297029703,42078.64921465969,0.0,65.9924932735426,13.332257769652653,1.0384247176597197,3322.135149384885,0.0,72.55463414634147,14.042105263157893,33.56677419354839,22.93096404793609,0.0,0.0,269.0789649122807,253.0252295338702,10.157142857142855,12.06,29.79708592387981,58.99643222442025,58.99643222442025,7.954614382663871,127.84131633262652,127.84131633262652
655.0,4b3b8c7d50e0417709d3ec24b9dfd6e5,2009-03-31,1.0,1.0,1.0,1.0,696.0,0.0,"399,00",57569.0,0.0,0,"21,1","57569,00","1985,14",1.0,66.78069306930692,27.15887096774193,3105.685577264653,479.9311355570529,0.0,99.01489757914341,2424.1729559748433,50.04872670807453,0.7000000000000001,2853.1861827956986,20.18941798941799,18.814942630185353,262.9134353369764,2323.172419928825,19.579964381122,55.62930719656283,71.93162135037728,23.388614273204908,99.90933333333334,70.74236998254798,92.04428822495605,0.3222122602740506,1.335449300699301,0.5,1.392471520554655,1.1699162303664925,0.8617382198952879,1.0157083769633508,36.09571936056839,3.742329360229473,0.2829196403898712,48.221973051250956,1.1969521157658212,-5.950202176668282,0.6504305216062959,2782.7365322580645,124.7534351145038,1399.3294432118598,42118.22692180151,42109.60223240256,42069.66600572612,250.0,2.477970297029703,42078.64921465969,0.0,65.9924932735426,13.332257769652653,1.0384247176597197,3322.135149384885,0.0,72.55463414634147,14.042105263157893,33.56677419354839,22.93096404793609,0.0,0.0,269.0789649122807,253.0252295338702,10.157142857142855,12.06,29.79708592387981,58.99643222442025,58.99643222442025,7.954614382663871,127.84131633262652,127.84131633262652
656.0,4b3b8c7d50e0417709d3ec24b9dfd6e5,2009-05-01,0.0,1.0,1.0,1.0,720.0,0.0,"287,00",39346.0,0.0,0,"2,0","39346,00","1311,53",1.0,66.78069306930692,27.15887096774193,3105.685577264653,479.9311355570529,0.0,99.01489757914341,2424.1729559748433,50.04872670807453,0.7000000000000001,2853.1861827956986,20.18941798941799,18.814942630185353,262.9134353369764,2323.172419928825,19.579964381122,55.62930719656283,71.93162135037728,23.388614273204908,99.90933333333334,70.74236998254798,92.04428822495605,0.3222122602740506,1.335449300699301,0.5,1.392471520554655,1.1699162303664925,0.8617382198952879,1.0157083769633508,36.09571936056839,3.742329360229473,0.2829196403898712,48.221973051250956,1.1969521157658212,-5.950202176668282,0.6504305216062959,2782.7365322580645,124.7534351145038,1399.3294432118598,42118.22692180151,42109.60223240256,42069.66600572612,250.0,2.477970297029703,42078.64921465969,0.0,65.9924932735426,13.332257769652653,1.0384247176597197,3322.135149384885,0.0,72.55463414634147,14.042105263157893,33.56677419354839,22.93096404793609,0.0,0.0,269.0789649122807,253.0252295338702,10.157142857142855,12.06,29.79708592387981,58.99643222442025,58.99643222442025,7.954614382663871,127.84131633262652,127.84131633262652
657.0,4b3b8c7d50e0417709d3ec24b9dfd6e5,2009-05-31,0.0,1.0,1.0,1.0,744.0,0.0,"283,00",38649.0,0.0,0,"3,1","38649,00","1246,74",1.0,66.78069306930692,27.15887096774193,3105.685577264653,479.9311355570529,0.0,99.01489757914341,2424.1729559748433,50.04872670807453,0.7000000000000001,2853.1861827956986,20.18941798941799,18.814942630185353,262.9134353369764,2323.172419928825,19.579964381122,55.62930719656283,71.93162135037728,23.388614273204908,99.90933333333334,70.74236998254798,92.04428822495605,0.3222122602740506,1.335449300699301,0.5,1.392471520554655,1.1699162303664925,0.8617382198952879,1.0157083769633508,36.09571936056839,3.742329360229473,0.2829196403898712,48.221973051250956,1.1969521157658212,-5.950202176668282,0.6504305216062959,2782.7365322580645,124.7534351145038,1399.3294432118598,42118.22692180151,42109.60223240256,42069.66600572612,250.0,2.477970297029703,42078.64921465969,0.0,65.9924932735426,13.332257769652653,1.0384247176597197,3322.135149384885,0.0,72.55463414634147,14.042105263157893,33.56677419354839,22.93096404793609,0.0,0.0,269.0789649122807,253.0252295338702,10.157142857142855,12.06,29.79708592387981,58.99643222442025,58.99643222442025,7.954614382663871,127.84131633262652,127.84131633262652
658.0,4b3b8c7d50e0417709d3ec24b9dfd6e5,2009-07-01,0.0,1.0,1.0,1.0,744.0,0.0,"283,00",37837.0,0.0,0,"3,4","37837,00","1220,55",1.0,66.78069306930692,27.15887096774193,3105.685577264653,479.9311355570529,0.0,99.01489757914341,2424.1729559748433,50.04872670807453,0.7000000000000001,2853.1861827956986,20.18941798941799,18.814942630185353,262.9134353369764,2323.172419928825,19.579964381122,55.62930719656283,71.93162135037728,23.388614273204908,99.90933333333334,70.74236998254798,92.04428822495605,0.3222122602740506,1.335449300699301,0.5,1.392471520554655,1.1699162303664925,0.8617382198952879,1.0157083769633508,36.09571936056839,3.742329360229473,0.2829196403898712,48.221973051250956,1.1969521157658212,-5.950202176668282,0.6504305216062959,2782.7365322580645,124.7534351145038,1399.3294432118598,42118.22692180151,42109.60223240256,42069.66600572612,250.0,2.477970297029703,42078.64921465969,0.0,65.9924932735426,13.332257769652653,1.0384247176597197,3322.135149384885,0.0,72.55463414634147,14.042105263157893,33.56677419354839,22.93096404793609,0.0,0.0,269.0789649122807,253.0252295338702,10.157142857142855,12.06,29.79708592387981,58.99643222442025,58.99643222442025,7.954614382663871,127.84131633262652,127.84131633262652
659.0,4b3b8c7d50e0417709d3ec24b9dfd6e5,2009-08-01,0.0,1.0,1.0,1.0,720.0,0.0,"406,00",56799.0,0.0,0,"2,6","56799,00","1893,30",1.0,66.78069306930692,27.15887096774193,3105.685577264653,479.9311355570529,0.0,99.01489757914341,2424.1729559748433,50.04872670807453,0.7000000000000001,2853.1861827956986,20.18941798941799,18.814942630185353,262.9134353369764,2323.172419928825,19.579964381122,55.62930719656283,71.93162135037728,23.388614273204908,99.90933333333334,70.74236998254798,92.04428822495605,0.3222122602740506,1.335449300699301,0.5,1.392471520554655,1.1699162303664925,0.8617382198952879,1.0157083769633508,36.09571936056839,3.742329360229473,0.2829196403898712,48.221973051250956,1.1969521157658212,-5.950202176668282,0.6504305216062959,2782.7365322580645,124.7534351145038,1399.3294432118598,42118.22692180151,42109.60223240256,42069.66600572612,250.0,2.477970297029703,42078.64921465969,0.0,65.9924932735426,13.332257769652653,1.0384247176597197,3322.135149384885,0.0,72.55463414634147,14.042105263157893,33.56677419354839,22.93096404793609,0.0,0.0,269.0789649122807,253.0252295338702,10.157142857142855,12.06,29.79708592387981,58.99643222442025,58.99643222442025,7.954614382663871,127.84131633262652,127.84131633262652
660.0,c5a7c4b92e1ee3d65032385f0326d33f,2009-03-31,0.0,1.0,1.0,2.0,0.0,0.0,"0,00",0.0,0.0,15,"0,0","0,00","0,00",1.0,66.78069306930692,27.15887096774193,3105.685577264653,479.9311355570529,0.0,99.01489757914341,2424.1729559748433,50.04872670807453,0.7000000000000001,2853.1861827956986,20.18941798941799,18.814942630185353,262.9134353369764,2323.172419928825,19.579964381122,55.62930719656283,71.93162135037728,23.388614273204908,99.90933333333334,70.74236998254798,92.04428822495605,0.3222122602740506,1.335449300699301,0.5,1.392471520554655,1.1699162303664925,0.8617382198952879,1.0157083769633508,36.09571936056839,3.742329360229473,0.2829196403898712,48.221973051250956,1.1969521157658212,-5.950202176668282,0.6504305216062959,2782.7365322580645,124.7534351145038,1399.3294432118598,42118.22692180151,42109.60223240256,42069.66600572612,250.0,2.477970297029703,42078.64921465969,0.0,65.9924932735426,13.332257769652653,1.0384247176597197,3322.135149384885,0.0,72.55463414634147,14.042105263157893,33.56677419354839,22.93096404793609,0.0,0.0,269.0789649122807,253.0252295338702,10.157142857142855,12.06,29.79708592387981,58.99643222442025,58.99643222442025,7.954614382663871,127.84131633262652,127.84131633262652
661.0,c5a7c4b92e1ee3d65032385f0326d33f,2009-05-01,0.0,1.0,3.0,1.0,312.0,0.0,"0,00",0.0,0.0,0,"0,0","0,00","0,00",1.0,66.78069306930692,27.15887096774193,3105.685577264653,479.9311355570529,0.0,99.01489757914341,2424.1729559748433,50.04872670807453,0.7000000000000001,2853.1861827956986,20.18941798941799,18.814942630185353,262.9134353369764,2323.172419928825,19.579964381122,55.62930719656283,71.93162135037728,23.388614273204908,99.90933333333334,70.74236998254798,92.04428822495605,0.3222122602740506,1.335449300699301,0.5,1.392471520554655,1.1699162303664925,0.8617382198952879,1.0157083769633508,36.09571936056839,3.742329360229473,0.2829196403898712,48.221973051250956,1.1969521157658212,-5.950202176668282,0.6504305216062959,2782.7365322580645,124.7534351145038,1399.3294432118598,42118.22692180151,42109.60223240256,42069.66600572612,250.0,2.477970297029703,42078.64921465969,0.0,65.9924932735426,13.332257769652653,1.0384247176597197,3322.135149384885,0.0,72.55463414634147,14.042105263157893,33.56677419354839,22.93096404793609,0.0,0.0,269.0789649122807,253.0252295338702,10.157142857142855,12.06,29.79708592387981,58.99643222442025,58.99643222442025,7.954614382663871,127.84131633262652,127.84131633262652
662.0,c5a7c4b92e1ee3d65032385f0326d33f,2009-05-31,0.0,1.0,2.0,1.0,744.0,0.0,"0,00",0.0,0.0,0,"0,0","0,00","0,00",1.0,66.78069306930692,27.15887096774193,3105.685577264653,479.9311355570529,0.0,99.01489757914341,2424.1729559748433,50.04872670807453,0.7000000000000001,2853.1861827956986,20.18941798941799,18.814942630185353,262.9134353369764,2323.172419928825,19.579964381122,55.62930719656283,71.93162135037728,23.388614273204908,99.90933333333334,70.74236998254798,92.04428822495605,0.3222122602740506,1.335449300699301,0.5,1.392471520554655,1.1699162303664925,0.8617382198952879,1.0157083769633508,36.09571936056839,3.742329360229473,0.2829196403898712,48.221973051250956,1.1969521157658212,-5.950202176668282,0.6504305216062959,2782.7365322580645,124.7534351145038,1399.3294432118598,42118.22692180151,42109.60223240256,42069.66600572612,250.0,2.477970297029703,42078.64921465969,0.0,65.9924932735426,13.332257769652653,1.0384247176597197,3322.135149384885,0.0,72.55463414634147,14.042105263157893,33.56677419354839,22.93096404793609,0.0,0.0,269.0789649122807,253.0252295338702,10.157142857142855,12.06,29.79708592387981,58.99643222442025,58.99643222442025,7.954614382663871,127.84131633262652,127.84131633262652
663.0,c5a7c4b92e1ee3d65032385f0326d33f,2009-07-01,0.0,1.0,2.0,1.0,744.0,0.0,"0,00",0.0,0.0,0,"0,0","0,00","0,00",1.0,66.78069306930692,27.15887096774193,3105.685577264653,479.9311355570529,0.0,99.01489757914341,2424.1729559748433,50.04872670807453,0.7000000000000001,2853.1861827956986,20.18941798941799,18.814942630185353,262.9134353369764,2323.172419928825,19.579964381122,55.62930719656283,71.93162135037728,23.388614273204908,99.90933333333334,70.74236998254798,92.04428822495605,0.3222122602740506,1.335449300699301,0.5,1.392471520554655,1.1699162303664925,0.8617382198952879,1.0157083769633508,36.09571936056839,3.742329360229473,0.2829196403898712,48.221973051250956,1.1969521157658212,-5.950202176668282,0.6504305216062959,2782.7365322580645,124.7534351145038,1399.3294432118598,42118.22692180151,42109.60223240256,42069.66600572612,250.0,2.477970297029703,42078.64921465969,0.0,65.9924932735426,13.332257769652653,1.0384247176597197,3322.135149384885,0.0,72.55463414634147,14.042105263157893,33.56677419354839,22.93096404793609,0.0,0.0,269.0789649122807,253.0252295338702,10.157142857142855,12.06,29.79708592387981,58.99643222442025,58.99643222442025,7.954614382663871,127.84131633262652,127.84131633262652
664.0,c5a7c4b92e1ee3d65032385f0326d33f,2009-08-01,0.0,1.0,2.0,1.0,720.0,0.0,"0,00",0.0,0.0,0,"0,0","0,00","0,00",1.0,66.78069306930692,27.15887096774193,3105.685577264653,479.9311355570529,0.0,99.01489757914341,2424.1729559748433,50.04872670807453,0.7000000000000001,2853.1861827956986,20.18941798941799,18.814942630185353,262.9134353369764,2323.172419928825,19.579964381122,55.62930719656283,71.93162135037728,23.388614273204908,99.90933333333334,70.74236998254798,92.04428822495605,0.3222122602740506,1.335449300699301,0.5,1.392471520554655,1.1699162303664925,0.8617382198952879,1.0157083769633508,36.09571936056839,3.742329360229473,0.2829196403898712,48.221973051250956,1.1969521157658212,-5.950202176668282,0.6504305216062959,2782.7365322580645,124.7534351145038,1399.3294432118598,42118.22692180151,42109.60223240256,42069.66600572612,250.0,2.477970297029703,42078.64921465969,0.0,65.9924932735426,13.332257769652653,1.0384247176597197,3322.135149384885,0.0,72.55463414634147,14.042105263157893,33.56677419354839,22.93096404793609,0.0,0.0,269.0789649122807,253.0252295338702,10.157142857142855,12.06,29.79708592387981,58.99643222442025,58.99643222442025,7.954614382663871,127.84131633262652,127.84131633262652
665.0,c5a7c4b92e1ee3d65032385f0326d33f,2009-08-31,0.0,1.0,2.0,1.0,744.0,0.0,"0,00",0.0,0.0,0,"0,0","0,00","0,00",1.0,66.78069306930692,27.15887096774193,3105.685577264653,479.9311355570529,0.0,99.01489757914341,2424.1729559748433,50.04872670807453,0.7000000000000001,2853.1861827956986,20.18941798941799,18.814942630185353,262.9134353369764,2323.172419928825,19.579964381122,55.62930719656283,71.93162135037728,23.388614273204908,99.90933333333334,70.74236998254798,92.04428822495605,0.3222122602740506,1.335449300699301,0.5,1.392471520554655,1.1699162303664925,0.8617382198952879,1.0157083769633508,36.09571936056839,3.742329360229473,0.2829196403898712,48.221973051250956,1.1969521157658212,-5.950202176668282,0.6504305216062959,2782.7365322580645,124.7534351145038,1399.3294432118598,42118.22692180151,42109.60223240256,42069.66600572612,250.0,2.477970297029703,42078.64921465969,0.0,65.9924932735426,13.332257769652653,1.0384247176597197,3322.135149384885,0.0,72.55463414634147,14.042105263157893,33.56677419354839,22.93096404793609,0.0,0.0,269.0789649122807,253.0252295338702,10.157142857142855,12.06,29.79708592387981,58.99643222442025,58.99643222442025,7.954614382663871,127.84131633262652,127.84131633262652
666.0,1c1e93a60bd298a468b52d2438424947,2008-12-31,1.0,1.0,1.0,1.0,504.0,0.0,"520,00",70514.0,0.0,3,"9,7","70514,00","3357,81",1.0,66.78069306930692,27.15887096774193,3105.685577264653,479.9311355570529,0.0,99.01489757914341,2424.1729559748433,50.04872670807453,0.7000000000000001,2853.1861827956986,20.18941798941799,18.814942630185353,262.9134353369764,2323.172419928825,19.579964381122,55.62930719656283,71.93162135037728,23.388614273204908,99.90933333333334,70.74236998254798,92.04428822495605,0.3222122602740506,1.335449300699301,0.5,1.392471520554655,1.1699162303664925,0.8617382198952879,1.0157083769633508,36.09571936056839,3.742329360229473,0.2829196403898712,48.221973051250956,1.1969521157658212,-5.950202176668282,0.6504305216062959,2782.7365322580645,124.7534351145038,1399.3294432118598,42118.22692180151,42109.60223240256,42069.66600572612,250.0,2.477970297029703,42078.64921465969,0.0,65.9924932735426,13.332257769652653,1.0384247176597197,3322.135149384885,0.0,72.55463414634147,14.042105263157893,33.56677419354839,22.93096404793609,0.0,0.0,269.0789649122807,253.0252295338702,10.157142857142855,12.06,29.79708592387981,58.99643222442025,58.99643222442025,7.954614382663871,127.84131633262652,127.84131633262652
667.0,1c1e93a60bd298a468b52d2438424947,2009-01-29,0.0,1.0,1.0,1.0,744.0,0.0,"576,00",85139.0,0.0,0,"3,2","85139,00","2746,42",1.0,66.78069306930692,27.15887096774193,3105.685577264653,479.9311355570529,0.0,99.01489757914341,2424.1729559748433,50.04872670807453,0.7000000000000001,2853.1861827956986,20.18941798941799,18.814942630185353,262.9134353369764,2323.172419928825,19.579964381122,55.62930719656283,71.93162135037728,23.388614273204908,99.90933333333334,70.74236998254798,92.04428822495605,0.3222122602740506,1.335449300699301,0.5,1.392471520554655,1.1699162303664925,0.8617382198952879,1.0157083769633508,36.09571936056839,3.742329360229473,0.2829196403898712,48.221973051250956,1.1969521157658212,-5.950202176668282,0.6504305216062959,2782.7365322580645,124.7534351145038,1399.3294432118598,42118.22692180151,42109.60223240256,42069.66600572612,250.0,2.477970297029703,42078.64921465969,0.0,65.9924932735426,13.332257769652653,1.0384247176597197,3322.135149384885,0.0,72.55463414634147,14.042105263157893,33.56677419354839,22.93096404793609,0.0,0.0,269.0789649122807,253.0252295338702,10.157142857142855,12.06,29.79708592387981,58.99643222442025,58.99643222442025,7.954614382663871,127.84131633262652,127.84131633262652
668.0,1c1e93a60bd298a468b52d2438424947,2009-03-01,0.0,1.0,1.0,1.0,720.0,0.0,"523,00",72990.0,0.0,0,"2,6","72990,00","2433,00",1.0,66.78069306930692,27.15887096774193,3105.685577264653,479.9311355570529,0.0,99.01489757914341,2424.1729559748433,50.04872670807453,0.7000000000000001,2853.1861827956986,20.18941798941799,18.814942630185353,262.9134353369764,2323.172419928825,19.579964381122,55.62930719656283,71.93162135037728,23.388614273204908,99.90933333333334,70.74236998254798,92.04428822495605,0.3222122602740506,1.335449300699301,0.5,1.392471520554655,1.1699162303664925,0.8617382198952879,1.0157083769633508,36.09571936056839,3.742329360229473,0.2829196403898712,48.221973051250956,1.1969521157658212,-5.950202176668282,0.6504305216062959,2782.7365322580645,124.7534351145038,1399.3294432118598,42118.22692180151,42109.60223240256,42069.66600572612,250.0,2.477970297029703,42078.64921465969,0.0,65.9924932735426,13.332257769652653,1.0384247176597197,3322.135149384885,0.0,72.55463414634147,14.042105263157893,33.56677419354839,22.93096404793609,0.0,0.0,269.0789649122807,253.0252295338702,10.157142857142855,12.06,29.79708592387981,58.99643222442025,58.99643222442025,7.954614382663871,127.84131633262652,127.84131633262652
